Year,Province,Value
1961,Ontario,313
1961,Prince Edward Island,12.2
1961,Quebec,237.4
1961,Saskatchewan,72.8
1962,Alberta,90.2
1962,British Columbia,83.9
1962,Manitoba,57.3
1962,New Brunswick,53.6
1962,Newfoundland and Labrador,65.9
1962,Nova Scotia,64.8
1962,Ontario,327.2
1962,Prince Edward Island,12.9
1962,Quebec,296.6
1962,Saskatchewan,68.7
1963,Alberta,81.8
1963,British Columbia,85.8
1963,Manitoba,61.2
1963,New Brunswick,59.3
1963,Newfoundland and Labrador,72.3
1963,Nova Scotia,66
1963,Ontario,286.3
1963,Prince Edward Island,15.7
1963,Quebec,320
1963,Saskatchewan,65.7
1964,Alberta,79.2
1964,British Columbia,84.5
1964,Manitoba,75.3
1964,New Brunswick,76.3
1964,Newfoundland and Labrador,84.5
1964,Nova Scotia,76.8
1964,Ontario,278
1964,Prince Edward Island,16
1964,Quebec,453.2
1964,Saskatchewan,69.7
1965,Alberta,89.5
1965,British Columbia,103.3
1965,Manitoba,83.1
1965,New Brunswick,89.4
1965,Newfoundland and Labrador,96.7
1965,Nova Scotia,90.6
1965,Ontario,336
1965,Prince Edward Island,18
1965,Quebec,341.7
1965,Saskatchewan,76.2
1966,Alberta,108.8
1966,British Columbia,115.9
1966,Manitoba,111.7
1966,New Brunswick,93.6
1966,Newfoundland and Labrador,100.1
1966,Nova Scotia,123.3
1966,Ontario,419.7
1966,Prince Edward Island,19.9
1966,Quebec,427.5
1966,Saskatchewan,98.5
1967,Alberta,134
1967,British Columbia,126.9
1967,Manitoba,125.6
1967,New Brunswick,131.9
1967,Newfoundland and Labrador,142.2
1967,Nova Scotia,177.2
1967,Ontario,501.8
1967,Prince Edward Island,28.9
1967,Quebec,569.1
1967,Saskatchewan,103.6
1968,Alberta,158
1968,British Columbia,171.2
1968,Manitoba,124.8
1968,New Brunswick,141.2
1968,Newfoundland and Labrador,148.6
1968,Nova Scotia,189.3
1968,Ontario,622.2
1968,Prince Edward Island,28.8
1968,Quebec,636.7
1968,Saskatchewan,114.7
1969,Alberta,192.1
1969,British Columbia,198.3
1969,Manitoba,151.5
1969,New Brunswick,165.6
1969,Newfoundland and Labrador,172.3
1969,Nova Scotia,201.6
1969,Ontario,735.6
1969,Prince Edward Island,38.2
1969,Quebec,708.3
1969,Saskatchewan,127.8
1970,Alberta,248.1
1970,British Columbia,268.3
1970,Manitoba,214.1
1970,New Brunswick,205.7
1970,Newfoundland and Labrador,225.6
1970,Nova Scotia,196.9
1970,Ontario,975.2
1970,Prince Edward Island,60.7
1970,Quebec,1100.3
1970,Saskatchewan,173.1
1971,Alberta,272.6
1971,British Columbia,288.5
1971,Manitoba,231.3
1971,New Brunswick,223.1
1971,Newfoundland and Labrador,239.3
1971,Nova Scotia,229.3
1971,Ontario,1105.5
1971,Prince Edward Island,52.8
1971,Quebec,1288.7
1971,Saskatchewan,253.4
1972,Alberta,303.2
1972,British Columbia,297.3
1972,Manitoba,264.4
1972,New Brunswick,254.7
1972,Newfoundland and Labrador,239.6
1972,Nova Scotia,289.5
1972,Ontario,1191.5
1972,Prince Edward Island,60.7
1972,Quebec,1199.3
1972,Saskatchewan,312.6
1973,Alberta,444.9
1973,British Columbia,332.3
1973,Manitoba,310.4
1973,New Brunswick,304
1973,Newfoundland and Labrador,294.5
1973,Nova Scotia,341.6
1973,Ontario,1258.9
1973,Prince Edward Island,71.1
1973,Quebec,1407.5
1973,Saskatchewan,336.5
1974,Alberta,554.6
1974,British Columbia,502.1
1974,Manitoba,403.7
1974,New Brunswick,379.9
